Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
98         TotalExcRef 1000      
99         0          100       
99         1          100       
99         2          100       
99         3          100       
99         4          100       
99         5          100       
99         6          100       
99         7          100       
99         8          100       
99         9          100       
99         TotalExcRef 1000      
100        0          100       
100        1          100       
100        2          100       
100        3          100       
100        4          100       
100        5          100       
100        6          100       
100        7          100       
100        8          100       
100        9          100       
100        TotalExcRef 1000      
101        0          100       
101        1          100       
101        2          100       
101        3          100       
101        4          100       
101        5          100       
101        6          100       
101        7          100       
101        8          100       
101        9          100       
101        TotalExcRef 1000      
102        0          100       
102        1          100       
102        2          100       
102        3          100       
102        4          100       
102        5          100       
102        6          100       
102        7          100       
102        8          100       
102        9          100       
102        TotalExcRef 1000      
103        0          100       
103        1          100       
103        2          100       
103        3          100       
103        4          100       
103        5          100       
103        6          100       
103        7          100       
103        8          100       
103        9          100       
103        TotalExcRef 1000      
104        0          100       
104        1          100       
104        2          100       
104        3          100       
104        4          100       
104        5          100       
104        6          100       
104        7          100       
104        8          100       
104        9          100       
104        TotalExcRef 1000      
105        0          100       
105        1          100       
105        2          100       
105        3          100       
105        4          100       
105        5          100       
105        6          100       
105        7          100       
105        8          100       
105        9          100       
105        TotalExcRef 1000      
106        0          100       
106        1          100       
106        2          100       
106        3          100       
106        4          100       
106        5          100       
106        6          100       
106        7          100       
106        8          100       
106        9          100       
106        TotalExcRef 1000      
107        0          100       
107        1          100       
107        2          100       
107        3          100       
107        4          100       
107        5          100       
107        6          100       
107        7          100       
107        8          100       
107        9          100       
107        TotalExcRef 1000      
108        0          100       
108        1          100       
108        2          100       
108        3          100       
108        4          100       
108        5          100       
108        6          100       
108        7          100       
108        8          100       
108        9          100       
108        TotalExcRef 1000      
110        0          100       
110        1          100       
110        2          100       
110        3          100       
110        4          100       
110        5          100       
110        6          100       
110        7          100       
110        8          100       
110        9          100       
110        TotalExcRef 1000      
111        0          100       
111        1          100       
111        2          100       
111        3          100       
111        4          100       
111        5          100       
111        6          100       
111        7          100       
111        8          100       
111        9          100       
111        TotalExcRef 1000      
112        0          100       
112        1          100       
112        2          100       
112        3          100       
112        4          100       
112        5          100       
112        6          100       
112        7          100       
112        8          100       
112        9          100       
112        TotalExcRef 1000      
113        0          100       
113        1          100       
113        2          100       
113        3          100       
113        4          100       
113        5          100       
113        6          100       
113        7          100       
113        8          100       
113        9          100       
113        TotalExcRef 1000      
114        0          100       
114        1          100       
114        2          100       
114        3          100       
114        4          100       
114        5          100       
114        6          100       
114        7          100       
114        8          100       
114        9          100       
114        TotalExcRef 1000      
115        0          100       
115        1          100       
115        2          100       
115        3          100       
115        4          100       
115        5          100       
115        6          100       
115        7          100       
115        8          100       
115        9          100       
115        TotalExcRef 1000      
116        0          100       
116        1          100       
116        2          100       
116        3          100       
116        4          100       
116        5          100       
116        6          100       
116        7          100       
116        8          100       
116        9          100       
116        TotalExcRef 1000      
117        0          100       
117        1          100       
117        2          100       
117        3          100       
117        4          100       
117        5          100       
117        6          100       
117        7          100       
117        8          100       
117        9          100       
117        TotalExcRef 1000      
118        0          100       
118        1          100       
118        2          100       
118        3          100       
118        4          100       
118        5          100       
118        6          100       
118        7          100       
118        8          100       
118        9          100       
118        TotalExcRef 1000      
119        0          100       
119        1          100       
119        2          100       
119        3          100       
119        4          100       
119        5          100       
119        6          100       
119        7          100       
119        8          100       
119        9          100       
119        TotalExcRef 1000      
120        0          100       
120        1          100       
120        2          100       
120        3          100       
120        4          100       
120        5          100       
120        6          100       
120        7          100       
120        8          100       
120        9          100       
120        TotalExcRef 1000      
122        0          0         
122        1          0         
122        2          0         
122        3          0         
122        4          0         
122        5          0         
122        6          0         
122        7          0         
122        8          0         
122        9          0         
122        TotalExcRef 0         
123        0          0         
123        1          0         
123        2          0         
123        3          0         
123        4          0         
123        5          0         
123        6          0         
123        7          0         
123        8          0         
123        9          0         
123        TotalExcRef 0         
124        0          0         
124        1          0         
124        2          0         
124        3          0         
124        4          0         
124        5          0         
124        6          0         
124        7          0         
124        8          0         
124        9          0         
124        TotalExcRef 0         
125        0          0         
125        1          0         
125        2          0         
125        3          0         
125        4          0         
125        5          0         
125        6          0         
125        7          0         
125        8          0         
125        9          0         
125        TotalExcRef 0         
127        0          0         
127        1          0         
127        2          0         
127        3          0         
127        4          0         
127        5          0         
127        6          0         
127        7          0         
127        8          0         
127        9          0         
127        TotalExcRef 0         
128        0          0         
128        1          0         
128        2          0         
128        3          0         
128        4          0         
128        5          0         
128        6          0         
128        7          0         
128        8          0         
128        9          0         
128        TotalExcRef 0         
129        0          0         
129        1          0         
129        2          0         
129        3          0         
129        4          0         
129        5          0         
129        6          0         
129        7          0         
129        8          0         
129        9          0         
129        TotalExcRef 0         
131        0          0         
131        1          0         
131        2          0         
131        3          0         
131        4          0         
131        5          0         
131        6          0         
131        7          0         
131        8          0         
131        9          0         
131        TotalExcRef 0         
132        0          0         
132        1          0         
132        2          0         
132        3          0         
132        4          0         
132        5          0         
132        6          0         
132        7          0         
132        8          0         
132        9          0         
132        TotalExcRef 0         
133        0          0         
133        1          0         
133        2          0         
133        3          0         
