aggregate data per location for random rate = 0.005 and with Perturbator = 1
Exploration Plus One
PONE : plus one perturbator
10 datasets
Picked up in the directory resources/classifier
297 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #Tasks     %Success                   
296        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
297        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
298        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
299        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
300        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
301        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
302        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
303        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
304        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
305        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
306        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
307        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
313        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
314        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
316        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
317        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
318        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
320        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
321        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
322        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
324        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
325        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
326        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
327        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
328        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
0          50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
4          50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
5          50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
6          50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
7          50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
8          50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
9          50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
10         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
11         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
12         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
13         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
14         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
15         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
16         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
17         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
18         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
19         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
20         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
21         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
22         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
23         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
24         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
25         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
26         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
27         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
28         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
29         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
30         50         0          0          10000              200,00             45             0,90                     50         10         -------------------- 100,00
33         49         1          0          100                2,00               1              0,02                     50         10         -------------------- 98,00 
34         49         1          0          100                2,00               1              0,02                     50         10         -------------------- 98,00 
35         49         1          0          100                2,00               1              0,02                     50         10         -------------------- 98,00 
36         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
37         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
38         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
39         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
40         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
41         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
42         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
43         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
44         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
45         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
46         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
47         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
48         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
49         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
50         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
56         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
57         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
59         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
60         50         0          0          100                2,00               1              0,02                     50         10         -------------------- 100,00
61         50         0          0          100                2,00               1              0,02                     50         10         -------------------- 100,00
62         50         0          0          100                2,00               1              0,02                     50         10         -------------------- 100,00
63         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
64         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
65         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
66         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
67         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
68         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
69         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
70         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
71         50         0          0          100                2,00               1              0,02                     50         10         -------------------- 100,00
72         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
73         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
74         49         0          1          100                2,00               1              0,02                     50         10         -------------------- 98,00 
77         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
78         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
79         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
80         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
81         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
85         50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
89         48         2          0          1000               20,00              2              0,04                     50         10         -------------------- 96,00 
91         48         2          0          1000               20,00              2              0,04                     50         10         -------------------- 96,00 
92         50         0          0          1000               20,00              2              0,04                     50         10         -------------------- 100,00
93         49         1          0          10994              219,88             51             1,02                     50         10         -------------------- 98,00 
94         50         0          0          11000              220,00             51             1,02                     50         10         -------------------- 100,00
95         30         20         0          9965               199,30             45             0,90                     50         10         ------------ 60,00         
96         23         27         0          9606               192,12             45             0,90                     50         10         ---------- 46,00           
