contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
123 perturbation point
PM : Numerical Perturbator
1 files of 100 chararacters
Random characters generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
5           45         0          0          0          0          0              NaN                        
10          45         0          0          0          0          0              NaN                        
20          45         0          0          0          0          0              NaN                        
50          45         0          0          0          0          0              NaN                        
75          45         0          0          0          0          0              NaN                        
100         45         0          0          0          0          0              NaN                        
1           46         0          0          0          0          0              NaN                        
5           46         0          0          0          0          0              NaN                        
10          46         0          0          0          0          0              NaN                        
20          46         0          0          0          0          0              NaN                        
50          46         0          0          0          0          0              NaN                        
75          46         0          0          0          0          0              NaN                        
100         46         0          0          0          0          0              NaN                        
1           47         0          0          0          0          0              NaN                        
5           47         0          0          0          0          0              NaN                        
10          47         0          0          0          0          0              NaN                        
20          47         0          0          0          0          0              NaN                        
50          47         0          0          0          0          0              NaN                        
75          47         0          0          0          0          0              NaN                        
100         47         0          0          0          0          0              NaN                        
1           48         0          0          0          0          0              NaN                        
5           48         0          0          0          0          0              NaN                        
10          48         0          0          0          0          0              NaN                        
20          48         0          0          0          0          0              NaN                        
50          48         0          0          0          0          0              NaN                        
75          48         0          0          0          0          0              NaN                        
100         48         0          0          0          0          0              NaN                        
1           49         0          0          0          0          0              NaN                        
5           49         0          0          0          0          0              NaN                        
10          49         0          0          0          0          0              NaN                        
20          49         0          0          0          0          0              NaN                        
50          49         0          0          0          0          0              NaN                        
75          49         0          0          0          0          0              NaN                        
100         49         0          0          0          0          0              NaN                        
1           50         0          0          0          0          0              NaN                        
5           50         0          0          0          0          0              NaN                        
10          50         0          0          0          0          0              NaN                        
20          50         0          0          0          0          0              NaN                        
50          50         0          0          0          0          0              NaN                        
75          50         0          0          0          0          0              NaN                        
100         50         0          0          0          0          0              NaN                        
1           51         0          0          0          0          0              NaN                        
5           51         0          0          0          0          0              NaN                        
