Loc P     Succ Pull
809 1,00  4    4   
810 0,67  2    3   
811 1,00  4    4   
812 1,00  4    4   
813 0,00  0    2   
814 0,67  2    3   
815 0,80  4    5   
816 1,00  4    4   
817 0,67  2    3   
818 0,67  2    3   
819 1,00  5    5   
820 1,00  5    5   
821 1,00  5    5   
822 0,80  4    5   
823 0,67  2    3   
824 1,00  5    5   
825 1,00  4    4   
826 1,00  4    4   
827 0,67  2    3   
828 0,67  2    3   
829 1,00  5    5   
830 1,00  4    4   
831 1,00  5    5   
832 0,67  2    3   
833 0,67  2    3   
834 0,33  1    3   
835 0,67  2    3   
836 0,00  0    2   
837 0,00  0    2   
838 1,00  5    5   
839 0,67  2    3   
840 1,00  4    4   
841 0,67  2    3   
842 0,67  2    3   
843 0,67  2    3   
844 NaN   0    0   
845 NaN   0    0   
846 NaN   0    0   
847 NaN   0    0   
848 NaN   0    0   
849 NaN   0    0   
850 NaN   0    0   
851 NaN   0    0   
852 NaN   0    0   
853 0,67  2    3   
854 0,67  2    3   
855 0,67  2    3   
856 0,80  4    5   
857 1,00  4    4   
858 1,00  4    4   
859 0,75  3    4   
860 1,00  4    4   
861 0,75  3    4   
862 1,00  4    4   
863 0,00  0    2   
864 1,00  4    4   
865 0,67  2    3   
866 0,67  2    3   
867 1,00  4    4   
868 0,67  2    3   
869 1,00  4    4   
870 1,00  4    4   
871 1,00  5    5   
872 1,00  4    4   
873 1,00  4    4   
874 1,00  5    5   
875 1,00  5    5   
876 1,00  5    5   
877 NaN   0    0   
878 NaN   0    0   
879 NaN   0    0   
880 NaN   0    0   
881 NaN   0    0   
882 NaN   0    0   
883 1,00  4    4   
884 0,67  2    3   
885 1,00  5    5   
886 1,00  5    5   
887 1,00  4    4   
888 1,00  4    4   
889 1,00  5    5   
890 1,00  4    4   
891 1,00  5    5   
892 1,00  5    5   
893 1,00  4    4   
894 1,00  4    4   
895 1,00  5    5   
896 1,00  4    4   
897 1,00  5    5   
898 0,33  1    3   
899 0,67  2    3   
900 1,00  5    5   
901 0,67  2    3   
902 1,00  4    4   
903 1,00  4    4   
904 0,67  2    3   
905 1,00  5    5   
