contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
PM : Numerical Perturbator
100 hex string of 16 byte
Random byte generated with 23 as seed
112 perturbation points
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
50          40         0          100        0          100        100             0,00                      
75          40         0          100        0          100        100             0,00                      
100         40         0          100        0          100        100             0,00                      
1           41         800        100        0          8000       900            ------------------ 88,89   
5           41         400        500        0          6600       900            --------- 44,44            
10          41         100        800        0          4500       900            --- 11,11                  
20          41         100        800        0          4500       900            --- 11,11                  
50          41         100        800        0          4500       900            --- 11,11                  
75          41         100        800        0          4500       900            --- 11,11                  
100         41         100        800        0          4500       900            --- 11,11                  
1           42         800        0          100        8100       900            ------------------ 88,89   
5           42         800        0          100        8100       900            ------------------ 88,89   
10          42         800        0          100        8100       900            ------------------ 88,89   
20          42         800        0          100        8100       900            ------------------ 88,89   
50          42         800        0          100        8100       900            ------------------ 88,89   
75          42         800        0          100        8100       900            ------------------ 88,89   
100         42         800        0          100        8100       900            ------------------ 88,89   
1           44         0          800        0          6400       800             0,00                      
5           44         0          800        0          6400       800             0,00                      
10          44         0          800        0          6400       800             0,00                      
20          44         0          800        0          6400       800             0,00                      
50          44         0          800        0          6400       800             0,00                      
75          44         0          800        0          6400       800             0,00                      
100         44         0          800        0          6400       800             0,00                      
1           45         0          800        0          6400       800             0,00                      
5           45         0          800        0          6400       800             0,00                      
10          45         0          800        0          6400       800             0,00                      
20          45         0          800        0          6400       800             0,00                      
50          45         0          800        0          6400       800             0,00                      
75          45         0          800        0          6400       800             0,00                      
100         45         0          800        0          6400       800             0,00                      
1           46         0          800        0          6400       800             0,00                      
5           46         0          800        0          6400       800             0,00                      
10          46         0          800        0          6400       800             0,00                      
20          46         0          800        0          6400       800             0,00                      
50          46         0          800        0          6400       800             0,00                      
75          46         0          800        0          6400       800             0,00                      
100         46         0          800        0          6400       800             0,00                      
1           47         0          800        0          6400       800             0,00                      
5           47         100        700        0          6400       800            --- 12,50                  
10          47         200        600        0          6400       800            ----- 25,00                
20          47         300        500        0          6400       800            -------- 37,50             
50          47         100        700        0          6400       800            --- 12,50                  
75          47         200        600        0          6400       800            ----- 25,00                
100         47         300        500        0          6400       800            -------- 37,50             
1           48         0          800        0          6400       800             0,00                      
5           48         0          800        0          6400       800             0,00                      
10          48         0          800        0          6400       800             0,00                      
20          48         0          800        0          6400       800             0,00                      
50          48         0          800        0          6400       800             0,00                      
75          48         0          800        0          6400       800             0,00                      
100         48         0          800        0          6400       800             0,00                      
1           49         0          800        0          6400       800             0,00                      
5           49         0          800        0          6400       800             0,00                      
10          49         0          800        0          6400       800             0,00                      
20          49         0          800        0          6400       800             0,00                      
50          49         0          800        0          6400       800             0,00                      
75          49         0          800        0          6400       800             0,00                      
100         49         0          800        0          6400       800             0,00                      
1           50         0          800        0          6400       800             0,00                      
5           50         0          800        0          6400       800             0,00                      
10          50         0          800        0          6400       800             0,00                      
20          50         0          800        0          6400       800             0,00                      
50          50         0          800        0          6400       800             0,00                      
75          50         0          800        0          6400       800             0,00                      
100         50         0          800        0          6400       800             0,00                      
1           51         0          800        0          6400       800             0,00                      
5           51         0          800        0          6400       800             0,00                      
10          51         0          800        0          6400       800             0,00                      
20          51         0          800        0          6400       800             0,00                      
50          51         0          800        0          6400       800             0,00                      
75          51         0          800        0          6400       800             0,00                      
100         51         0          800        0          6400       800             0,00                      
1           52         0          800        0          6400       800             0,00                      
5           52         0          800        0          6400       800             0,00                      
10          52         0          800        0          6400       800             0,00                      
20          52         0          800        0          6400       800             0,00                      
50          52         0          800        0          6400       800             0,00                      
75          52         0          800        0          6400       800             0,00                      
100         52         0          800        0          6400       800             0,00                      
1           53         0          800        0          6400       800             0,00                      
5           53         0          800        0          6400       800             0,00                      
10          53         0          800        0          6400       800             0,00                      
20          53         0          800        0          6400       800             0,00                      
50          53         0          800        0          6400       800             0,00                      
75          53         0          800        0          6400       800             0,00                      
100         53         0          800        0          6400       800             0,00                      
1           54         0          800        0          6400       800             0,00                      
5           54         0          800        0          6400       800             0,00                      
10          54         0          800        0          6400       800             0,00                      
20          54         0          800        0          6400       800             0,00                      
50          54         0          500        300        5500       800             0,00                      
75          54         0          400        400        5300       800             0,00                      
100         54         0          300        500        4700       800             0,00                      
1           55         0          800        0          6400       800             0,00                      
5           55         0          800        0          6400       800             0,00                      
10          55         0          800        0          6400       800             0,00                      
20          55         0          800        0          6400       800             0,00                      
50          55         0          800        0          6400       800             0,00                      
75          55         0          800        0          6400       800             0,00                      
100         55         0          800        0          6400       800             0,00                      
1           56         0          800        0          6400       800             0,00                      
5           56         0          800        0          6400       800             0,00                      
10          56         0          800        0          6400       800             0,00                      
20          56         0          800        0          6400       800             0,00                      
50          56         0          800        0          6400       800             0,00                      
75          56         0          800        0          6400       800             0,00                      
100         56         0          800        0          6400       800             0,00                      
1           57         0          800        0          6400       800             0,00                      
5           57         0          800        0          6400       800             0,00                      
10          57         0          800        0          6400       800             0,00                      
20          57         0          800        0          6400       800             0,00                      
50          57         0          800        0          6400       800             0,00                      
75          57         0          800        0          6400       800             0,00                      
100         57         0          800        0          6400       800             0,00                      
1           58         0          800        0          6400       800             0,00                      
5           58         0          800        0          6400       800             0,00                      
10          58         0          800        0          6400       800             0,00                      
20          58         0          800        0          6400       800             0,00                      
50          58         0          500        300        5500       800             0,00                      
75          58         0          400        400        5300       800             0,00                      
100         58         0          300        500        4700       800             0,00                      
1           59         0          800        0          6400       800             0,00                      
5           59         0          800        0          6400       800             0,00                      
10          59         0          800        0          6400       800             0,00                      
20          59         0          800        0          6400       800             0,00                      
50          59         0          800        0          6400       800             0,00                      
75          59         0          800        0          6400       800             0,00                      
100         59         0          800        0          6400       800             0,00                      
1           60         0          800        0          6400       800             0,00                      
5           60         0          800        0          6400       800             0,00                      
10          60         0          800        0          6400       800             0,00                      
20          60         0          800        0          6400       800             0,00                      
50          60         0          500        300        5500       800             0,00                      
75          60         0          400        400        5300       800             0,00                      
100         60         0          300        500        4700       800             0,00                      
1           61         0          800        0          6400       800             0,00                      
5           61         0          800        0          6400       800             0,00                      
10          61         0          800        0          6400       800             0,00                      
20          61         0          800        0          6400       800             0,00                      
50          61         0          800        0          6400       800             0,00                      
75          61         0          800        0          6400       800             0,00                      
100         61         0          800        0          6400       800             0,00                      
1           62         2          698        100        6400       800            - 0,25                     
5           62         2          298        500        5400       800            - 0,25                     
10          62         0          0          800        3600       800             0,00                      
20          62         0          0          800        3600       800             0,00                      
50          62         0          0          800        3600       800             0,00                      
75          62         0          0          800        3600       800             0,00                      
100         62         0          0          800        3600       800             0,00                      
1           63         2          698        100        6400       800            - 0,25                     
5           63         2          298        500        5400       800            - 0,25                     
10          63         0          0          800        3600       800             0,00                      
20          63         0          0          800        3600       800             0,00                      
50          63         0          0          800        3600       800             0,00                      
75          63         0          0          800        3600       800             0,00                      
100         63         0          0          800        3600       800             0,00                      
1           64         2          698        100        6400       800            - 0,25                     
5           64         2          298        500        5400       800            - 0,25                     
10          64         0          0          800        3600       800             0,00                      
20          64         0          0          800        3600       800             0,00                      
50          64         0          0          800        3600       800             0,00                      
75          64         0          0          800        3600       800             0,00                      
100         64         0          0          800        3600       800             0,00                      
1           65         3          697        100        6400       800            - 0,38                     
5           65         2          298        500        5400       800            - 0,25                     
10          65         0          0          800        3600       800             0,00                      
20          65         0          0          800        3600       800             0,00                      
50          65         0          0          800        3600       800             0,00                      
75          65         0          0          800        3600       800             0,00                      
100         65         0          0          800        3600       800             0,00                      
1           66         3          697        100        6400       800            - 0,38                     
5           66         2          298        500        5400       800            - 0,25                     
10          66         0          0          800        3600       800             0,00                      
20          66         0          0          800        3600       800             0,00                      
50          66         0          0          800        3600       800             0,00                      
75          66         0          0          800        3600       800             0,00                      
100         66         0          0          800        3600       800             0,00                      
1           67         3          697        100        6400       800            - 0,38                     
5           67         2          298        500        5400       800            - 0,25                     
10          67         0          0          800        3600       800             0,00                      
20          67         0          0          800        3600       800             0,00                      
50          67         0          0          800        3600       800             0,00                      
75          67         0          0          800        3600       800             0,00                      
100         67         0          0          800        3600       800             0,00                      
1           68         0          800        0          6400       800             0,00                      
5           68         0          800        0          6400       800             0,00                      
10          68         0          800        0          6400       800             0,00                      
20          68         0          800        0          6400       800             0,00                      
50          68         0          800        0          6400       800             0,00                      
75          68         0          800        0          6400       800             0,00                      
100         68         0          800        0          6400       800             0,00                      
1           69         0          800        0          6400       800             0,00                      
5           69         0          800        0          6400       800             0,00                      
10          69         0          800        0          6400       800             0,00                      
20          69         0          800        0          6400       800             0,00                      
50          69         0          800        0          6400       800             0,00                      
75          69         0          800        0          6400       800             0,00                      
100         69         0          800        0          6400       800             0,00                      
1           70         0          800        0          6400       800             0,00                      
5           70         0          800        0          6400       800             0,00                      
10          70         0          800        0          6400       800             0,00                      
20          70         0          800        0          6400       800             0,00                      
50          70         0          800        0          6400       800             0,00                      
75          70         0          800        0          6400       800             0,00                      
100         70         0          800        0          6400       800             0,00                      
1           71         0          800        0          6400       800             0,00                      
5           71         0          800        0          6400       800             0,00                      
10          71         0          800        0          6400       800             0,00                      
20          71         0          800        0          6400       800             0,00                      
50          71         0          500        300        5500       800             0,00                      
75          71         0          400        400        5300       800             0,00                      
100         71         0          300        500        4700       800             0,00                      
1           72         0          800        0          6400       800             0,00                      
5           72         0          800        0          6400       800             0,00                      
10          72         0          800        0          6400       800             0,00                      
20          72         0          800        0          6400       800             0,00                      
50          72         0          800        0          6400       800             0,00                      
75          72         0          800        0          6400       800             0,00                      
100         72         0          800        0          6400       800             0,00                      
1           73         0          800        0          6400       800             0,00                      
5           73         0          800        0          6400       800             0,00                      
10          73         0          800        0          6400       800             0,00                      
20          73         0          800        0          6400       800             0,00                      
50          73         0          800        0          6400       800             0,00                      
75          73         0          800        0          6400       800             0,00                      
100         73         0          800        0          6400       800             0,00                      
1           74         0          500        300        5700       800             0,00                      
5           74         0          500        300        5700       800             0,00                      
10          74         100        400        300        5700       800            --- 12,50                  
20          74         0          500        300        5700       800             0,00                      
50          74         0          500        300        5700       800             0,00                      
75          74         0          500        300        5700       800             0,00                      
100         74         200        300        300        5700       800            ----- 25,00                
1           75         0          800        0          6400       800             0,00                      
5           75         0          800        0          6400       800             0,00                      
10          75         0          800        0          6400       800             0,00                      
20          75         0          800        0          6400       800             0,00                      
50          75         0          600        200        5900       800             0,00                      
75          75         0          500        300        5700       800             0,00                      
100         75         0          500        300        5700       800             0,00                      
1           76         0          800        0          6400       800             0,00                      
5           76         0          800        0          6400       800             0,00                      
10          76         0          800        0          6400       800             0,00                      
20          76         0          800        0          6400       800             0,00                      
50          76         0          800        0          6400       800             0,00                      
75          76         0          800        0          6400       800             0,00                      
100         76         0          800        0          6400       800             0,00                      
1           77         0          800        0          6400       800             0,00                      
5           77         0          800        0          6400       800             0,00                      
10          77         0          800        0          6400       800             0,00                      
20          77         0          800        0          6400       800             0,00                      
50          77         0          800        0          6400       800             0,00                      
75          77         0          800        0          6400       800             0,00                      
100         77         0          800        0          6400       800             0,00                      
1           78         100        0          0          100        100            -------------------- 100,00
5           78         100        0          0          100        100            -------------------- 100,00
10          78         100        0          0          100        100            -------------------- 100,00
20          78         100        0          0          100        100            -------------------- 100,00
50          78         100        0          0          100        100            -------------------- 100,00
75          78         100        0          0          100        100            -------------------- 100,00
100         78         100        0          0          100        100            -------------------- 100,00
1           80         0          100        0          100        100             0,00                      
5           80         0          100        0          100        100             0,00                      
10          80         0          100        0          100        100             0,00                      
20          80         0          100        0          100        100             0,00                      
50          80         0          100        0          100        100             0,00                      
75          80         0          100        0          100        100             0,00                      
100         80         0          100        0          100        100             0,00                      
1           81         0          100        0          100        100             0,00                      
5           81         0          100        0          100        100             0,00                      
10          81         0          100        0          100        100             0,00                      
20          81         0          100        0          100        100             0,00                      
50          81         0          100        0          100        100             0,00                      
75          81         0          100        0          100        100             0,00                      
100         81         0          100        0          100        100             0,00                      
1           83         100        0          0          100        100            -------------------- 100,00
5           83         100        0          0          100        100            -------------------- 100,00
10          83         100        0          0          100        100            -------------------- 100,00
20          83         100        0          0          100        100            -------------------- 100,00
50          83         100        0          0          100        100            -------------------- 100,00
75          83         100        0          0          100        100            -------------------- 100,00
100         83         100        0          0          100        100            -------------------- 100,00
1           84         100        0          0          100        100            -------------------- 100,00
5           84         0          100        0          100        100             0,00                      
10          84         0          100        0          100        100             0,00                      
20          84         0          100        0          100        100             0,00                      
50          84         0          100        0          100        100             0,00                      
75          84         0          100        0          100        100             0,00                      
100         84         0          100        0          100        100             0,00                      
1           85         25700      0          0          6604800    25700          -------------------- 100,00
5           85         25700      0          0          6603400    25700          -------------------- 100,00
10          85         25700      0          0          6599400    25700          -------------------- 100,00
20          85         25300      400        0          6583900    25700          -------------------- 98,44 
50          85         22300      3400       0          6477400    25700          ------------------ 86,77   
75          85         19800      5900       0          6319900    25700          ---------------- 77,04     
100         85         17300      8400       0          6099900    25700          -------------- 67,32       
1           86         25600      0          100        6604900    25700          -------------------- 99,61 
5           86         25600      0          100        6604900    25700          -------------------- 99,61 
10          86         25600      0          100        6604900    25700          -------------------- 99,61 
20          86         25600      0          100        6604900    25700          -------------------- 99,61 
50          86         25600      0          100        6604900    25700          -------------------- 99,61 
75          86         25600      0          100        6604900    25700          -------------------- 99,61 
100         86         25600      0          100        6604900    25700          -------------------- 99,61 
1           88         9200       16300      100        6553600    25600          -------- 35,94             
5           88         8800       16300      500        6552600    25600          ------- 34,38              
10          88         8300       16300      1000       6549100    25600          ------- 32,42              
20          88         7600       16000      2000       6534600    25600          ------ 29,69               
50          88         6300       14300      5000       6431100    25600          ----- 24,61                
75          88         4700       13400      7500       6276100    25600          ---- 18,36                 
100         88         3100       12500      10000      6058600    25600          --- 12,11                  
1           89         9200       16400      0          6553600    25600          -------- 35,94             
5           89         9200       16400      0          6553600    25600          -------- 35,94             
10          89         9300       16300      0          6553600    25600          -------- 36,33             
20          89         9200       16400      0          6553600    25600          -------- 35,94             
50          89         9200       16400      0          6553600    25600          -------- 35,94             
75          89         9200       16400      0          6553600    25600          -------- 35,94             
100         89         9400       16200      0          6553600    25600          -------- 36,72             
1           90         0          100        0          100        100             0,00                      
5           90         0          100        0          100        100             0,00                      
10          90         0          0          100        100        100             0,00                      
20          90         0          0          100        100        100             0,00                      
50          90         0          0          100        100        100             0,00                      
75          90         0          0          100        100        100             0,00                      
100         90         0          0          100        100        100             0,00                      
1           91         0          100        0          100        100             0,00                      
5           91         0          100        0          100        100             0,00                      
10          91         0          100        0          100        100             0,00                      
20          91         0          100        0          100        100             0,00                      
50          91         0          100        0          100        100             0,00                      
75          91         0          100        0          100        100             0,00                      
100         91         0          100        0          100        100             0,00                      
1           92         0          100        0          100        100             0,00                      
5           92         0          100        0          100        100             0,00                      
10          92         0          100        0          100        100             0,00                      
20          92         0          100        0          100        100             0,00                      
50          92         0          100        0          100        100             0,00                      
75          92         0          100        0          100        100             0,00                      
100         92         0          100        0          100        100             0,00                      
1           93         25700      0          0          6604800    25700          -------------------- 100,00
5           93         25700      0          0          6603400    25700          -------------------- 100,00
10          93         25700      0          0          6599400    25700          -------------------- 100,00
20          93         25700      0          0          6583900    25700          -------------------- 100,00
50          93         23100      2600       0          6477400    25700          ------------------ 89,88   
75          93         20600      5100       0          6319900    25700          ----------------- 80,16    
100         93         18100      7600       0          6099900    25700          --------------- 70,43      
1           94         25600      0          100        6604900    25700          -------------------- 99,61 
5           94         25600      0          100        6604900    25700          -------------------- 99,61 
10          94         25600      0          100        6604900    25700          -------------------- 99,61 
20          94         25600      0          100        6604900    25700          -------------------- 99,61 
50          94         25600      0          100        6604900    25700          -------------------- 99,61 
75          94         25600      0          100        6604900    25700          -------------------- 99,61 
100         94         25600      0          100        6604900    25700          -------------------- 99,61 
1           96         900        21500      3200       6156800    25600          - 3,52                     
5           96         400        9200       16000      4537600    25600          - 1,56                     
10          96         0          0          25600      3289600    25600           0,00                      
20          96         0          0          25600      3289600    25600           0,00                      
50          96         0          0          25600      3289600    25600           0,00                      
75          96         0          0          25600      3289600    25600           0,00                      
100         96         0          0          25600      3289600    25600           0,00                      
1           97         600        25000      0          6553600    25600          - 2,34                     
