Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
125        1          1568      
125        2          1568      
125        3          1568      
125        4          1568      
125        TotalExcRef 7840      
127        0          1344      
127        1          1344      
127        2          1344      
127        3          1344      
127        4          1344      
127        TotalExcRef 6720      
128        0          1344      
128        1          1344      
128        2          1344      
128        3          1344      
128        4          1344      
128        TotalExcRef 6720      
129        0          1344      
129        1          1344      
129        2          1344      
129        3          1344      
129        4          1344      
129        TotalExcRef 6720      
130        0          1344      
130        1          1344      
130        2          1344      
130        3          1344      
130        4          1344      
130        TotalExcRef 6720      
131        0          1344      
131        1          1344      
131        2          1344      
131        3          1344      
131        4          1344      
131        TotalExcRef 6720      
132        0          1344      
132        1          1344      
132        2          1344      
132        3          1344      
132        4          1344      
132        TotalExcRef 6720      
133        0          1344      
133        1          1344      
133        2          1344      
133        3          1344      
133        4          1344      
133        TotalExcRef 6720      
134        0          1344      
134        1          1344      
134        2          1344      
134        3          1344      
134        4          1344      
134        TotalExcRef 6720      
135        0          1344      
135        1          1344      
135        2          1344      
135        3          1344      
135        4          1344      
135        TotalExcRef 6720      
136        0          224       
136        1          224       
136        2          224       
136        3          224       
136        4          224       
136        TotalExcRef 1120      
137        0          1         
137        1          1         
137        2          1         
137        3          1         
137        4          1         
137        TotalExcRef 5         
138        0          1         
138        1          1         
138        2          1         
138        3          1         
138        4          1         
138        TotalExcRef 5         
139        0          1         
139        1          1         
139        2          1         
139        3          1         
139        4          1         
139        TotalExcRef 5         
140        0          1         
140        1          1         
140        2          1         
140        3          1         
140        4          1         
140        TotalExcRef 5         
141        0          1         
141        1          1         
141        2          1         
141        3          1         
141        4          1         
141        TotalExcRef 5         
142        0          1         
142        1          1         
142        2          1         
142        3          1         
142        4          1         
142        TotalExcRef 5         
143        0          1         
143        1          1         
143        2          1         
143        3          1         
143        4          1         
143        TotalExcRef 5         
144        0          1         
144        1          1         
144        2          1         
144        3          1         
144        4          1         
144        TotalExcRef 5         
145        0          1         
145        1          1         
145        2          1         
145        3          1         
145        4          1         
145        TotalExcRef 5         
146        0          1         
146        1          1         
146        2          1         
146        3          1         
146        4          1         
146        TotalExcRef 5         
147        0          1         
147        1          1         
147        2          1         
147        3          1         
147        4          1         
147        TotalExcRef 5         
148        0          1         
148        1          1         
148        2          1         
148        3          1         
148        4          1         
148        TotalExcRef 5         
149        0          1         
149        1          1         
149        2          1         
149        3          1         
149        4          1         
149        TotalExcRef 5         
150        0          15        
150        1          15        
150        2          15        
150        3          15        
150        4          15        
150        TotalExcRef 75        
151        0          15        
151        1          15        
151        2          15        
151        3          15        
151        4          15        
151        TotalExcRef 75        
153        0          14        
153        1          14        
153        2          14        
153        3          14        
153        4          14        
153        TotalExcRef 70        
154        0          14        
154        1          14        
154        2          14        
154        3          14        
154        4          14        
154        TotalExcRef 70        
155        0          210       
155        1          210       
155        2          210       
155        3          210       
155        4          210       
155        TotalExcRef 1050      
156        0          210       
156        1          210       
156        2          210       
156        3          210       
156        4          210       
156        TotalExcRef 1050      
158        0          196       
158        1          196       
158        2          196       
158        3          196       
158        4          196       
158        TotalExcRef 980       
159        0          196       
159        1          196       
159        2          196       
159        3          196       
159        4          196       
159        TotalExcRef 980       
160        0          196       
160        1          196       
160        2          196       
160        3          196       
160        4          196       
160        TotalExcRef 980       
161        0          196       
161        1          196       
161        2          196       
161        3          196       
161        4          196       
161        TotalExcRef 980       
162        0          196       
162        1          196       
162        2          196       
162        3          196       
162        4          196       
162        TotalExcRef 980       
163        0          196       
163        1          196       
163        2          196       
163        3          196       
163        4          196       
163        TotalExcRef 980       
164        0          196       
164        1          196       
164        2          196       
164        3          196       
164        4          196       
164        TotalExcRef 980       
165        0          196       
165        1          196       
165        2          196       
165        3          196       
165        4          196       
165        TotalExcRef 980       
166        0          196       
166        1          196       
166        2          196       
166        3          196       
166        4          196       
166        TotalExcRef 980       
167        0          196       
167        1          196       
167        2          196       
167        3          196       
167        4          196       
167        TotalExcRef 980       
168        0          196       
168        1          196       
168        2          196       
168        3          196       
168        4          196       
168        TotalExcRef 980       
169        0          196       
169        1          196       
169        2          196       
169        3          196       
169        4          196       
169        TotalExcRef 980       
170        0          196       
170        1          196       
170        2          196       
170        3          196       
170        4          196       
170        TotalExcRef 980       
171        0          196       
171        1          196       
171        2          196       
171        3          196       
171        4          196       
171        TotalExcRef 980       
172        0          196       
172        1          196       
172        2          196       
172        3          196       
172        4          196       
172        TotalExcRef 980       
173        0          196       
173        1          196       
173        2          196       
173        3          196       
173        4          196       
173        TotalExcRef 980       
174        0          196       
174        1          196       
174        2          196       
174        3          196       
174        4          196       
174        TotalExcRef 980       
175        0          196       
175        1          196       
175        2          196       
175        3          196       
175        4          196       
175        TotalExcRef 980       
176        0          196       
176        1          196       
176        2          196       
176        3          196       
176        4          196       
176        TotalExcRef 980       
177        0          196       
177        1          196       
177        2          196       
177        3          196       
177        4          196       
177        TotalExcRef 980       
178        0          196       
178        1          196       
178        2          196       
178        3          196       
178        4          196       
178        TotalExcRef 980       
179        0          196       
179        1          196       
179        2          196       
179        3          196       
179        4          196       
179        TotalExcRef 980       
180        0          196       
180        1          196       
180        2          196       
180        3          196       
180        4          196       
180        TotalExcRef 980       
181        0          196       
181        1          196       
181        2          196       
181        3          196       
181        4          196       
181        TotalExcRef 980       
182        0          196       
182        1          196       
182        2          196       
182        3          196       
182        4          196       
182        TotalExcRef 980       
183        0          196       
183        1          196       
183        2          196       
183        3          196       
183        4          196       
183        TotalExcRef 980       
184        0          196       
184        1          196       
184        2          196       
184        3          196       
184        4          196       
184        TotalExcRef 980       
185        0          196       
185        1          196       
185        2          196       
185        3          196       
185        4          196       
185        TotalExcRef 980       
186        0          196       
186        1          196       
186        2          196       
186        3          196       
186        4          196       
186        TotalExcRef 980       
187        0          196       
187        1          196       
187        2          196       
187        3          196       
187        4          196       
187        TotalExcRef 980       
188        0          196       
188        1          196       
188        2          196       
188        3          196       
188        4          196       
188        TotalExcRef 980       
189        0          196       
189        1          196       
189        2          196       
189        3          196       
189        4          196       
189        TotalExcRef 980       
190        0          196       
190        1          196       
190        2          196       
190        3          196       
190        4          196       
190        TotalExcRef 980       
191        0          196       
191        1          196       
191        2          196       
191        3          196       
191        4          196       
191        TotalExcRef 980       
192        0          196       
192        1          196       
192        2          196       
192        3          196       
192        4          196       
192        TotalExcRef 980       
193        0          196       
193        1          196       
193        2          196       
193        3          196       
193        4          196       
193        TotalExcRef 980       
194        0          196       
194        1          196       
194        2          196       
194        3          196       
194        4          196       
194        TotalExcRef 980       
195        0          196       
195        1          196       
195        2          196       
195        3          196       
195        4          196       
195        TotalExcRef 980       
196        0          196       
196        1          196       
196        2          196       
196        3          196       
196        4          196       
196        TotalExcRef 980       
197        0          196       
197        1          196       
197        2          196       
197        3          196       
197        4          196       
197        TotalExcRef 980       
198        0          196       
198        1          196       
198        2          196       
198        3          196       
198        4          196       
198        TotalExcRef 980       
199        0          196       
199        1          196       
199        2          196       
199        3          196       
199        4          196       
199        TotalExcRef 980       
200        0          196       
200        1          196       
200        2          196       
200        3          196       
200        4          196       
200        TotalExcRef 980       
201        0          196       
201        1          196       
201        2          196       
201        3          196       
201        4          196       
201        TotalExcRef 980       
202        0          196       
202        1          196       
202        2          196       
202        3          196       
202        4          196       
202        TotalExcRef 980       
203        0          196       
203        1          196       
203        2          196       
203        3          196       
203        4          196       
203        TotalExcRef 980       
222        0          44        
222        1          49        
222        2          32        
222        3          48        
222        4          54        
222        TotalExcRef 227       
224        0          0         
224        1          0         
224        2          0         
224        3          0         
